split,original_split,video_id,file_name,hf_filename,face_detected_ratio,head_yaw_mean,head_yaw_std,head_pitch_mean,head_pitch_std,head_roll_mean,head_roll_std,mouth_movement_mean,mouth_movement_std,shoulder_movement_mean,shoulder_movement_std,hand_movement_mean,hand_movement_std,frame_count,analyzed_duration_seconds,interview_label,label_source
test,train,-zNyDPzId4E.003,-zNyDPzId4E.003.mp4,train/-zNyDPzId4E.003.mp4,1.0,-0.0008321591171039,0.0817373228093922,-0.0133440074052964,0.0299304866807304,0.1600830695877401,0.1678682599467215,0.065617772933884,0.0515151612831365,0.002763774442585,0.0018106421484329,0.0673992361071976,0.0734650040291093,77.0,15.3,0.4205607476635514,chalearn_annotation_mirror
test,train,1AMp8Y_0UGc.004,1AMp8Y_0UGc.004.mp4,train/1AMp8Y_0UGc.004.mp4,0.9864864864864864,0.0587508936322154,0.0773822972109274,0.0511331843313747,0.0451810003878573,0.0303625629174709,0.1917866213423233,0.0405393948647918,0.0350434817322034,0.0077908809769614,0.0073810904638884,0.0546208187064759,0.0576106418720855,74.0,15.306958333333332,0.4299065420560747,chalearn_annotation_mirror
test,train,2GHz8LYflE0.000,2GHz8LYflE0.000.mp4,train/2GHz8LYflE0.000.mp4,1.0,-0.0486964960994431,0.0597298752234741,0.0112448205911075,0.0289605444270535,0.1974377373991083,0.1361169520024747,0.0339119973217945,0.0280399761595274,0.0045669603190783,0.0042929963188966,0.0801798136292588,0.1006768913080128,77.0,15.3,0.4299065420560747,chalearn_annotation_mirror
test,validation,2NNYN1ZCJhw.002,2NNYN1ZCJhw.002.mp4,validation/2NNYN1ZCJhw.002.mp4,1.0,-0.1061425746155161,0.1000401216931399,-0.012040928817341,0.0305281990003778,0.0717114311181587,0.0733802053233857,0.0768502374228439,0.0552411541056317,0.0024136765739392,0.0018884182093681,0.0415924797870577,0.0658194687413597,77.0,15.315315315315315,0.5981308411214953,chalearn_annotation_mirror
test,train,2mfmw63l88g.005,2mfmw63l88g.005.mp4,train/2mfmw63l88g.005.mp4,1.0,-0.1140308770640778,0.0292720204307408,0.0102176270152051,0.0079522019574231,0.0008891231442384,0.0525685591707173,0.0232547824682647,0.0239809066411447,0.0011848968321486,0.0009753436711309,0.0046180954970613,0.0038391405406239,77.0,15.3,0.1775700934579439,chalearn_annotation_mirror
test,validation,2oiXF5_gTyk.000,2oiXF5_gTyk.000.mp4,validation/2oiXF5_gTyk.000.mp4,1.0,0.0358191464542472,0.0506636349427351,0.1059610459821491,0.0207194317818942,0.0009402822230987,0.055028966115643,0.044741902618502,0.0268727480892383,0.0019082395480732,0.0017347697726245,0.0210651254222844,0.0205395224763484,77.0,15.3153,0.6915887850467289,chalearn_annotation_mirror
test,train,2x8GZaBY6TM.001,2x8GZaBY6TM.001.mp4,train/2x8GZaBY6TM.001.mp4,1.0,0.0819676837004882,0.0257471320745141,0.1700965275299187,0.0528640533597483,-0.0591442185598122,0.0585790546992382,0.0114054273215945,0.0179449960175429,0.0028970882326629,0.0029383848567656,0.0048769720542002,0.005189505398225,77.0,15.3,0.2616822429906542,chalearn_annotation_mirror
test,validation,300gK3CnzW0.005,300gK3CnzW0.005.mp4,validation/300gK3CnzW0.005.mp4,1.0,-0.0403338552225868,0.1073329131008809,0.0258841117059807,0.0368437436094115,-0.0553807305051631,0.2258374707671301,0.0412892224285961,0.0252082071195962,0.0077354315502162,0.0076685044302659,0.0605818958073284,0.0884907563658719,73.0,15.32593862626404,0.3551401869158878,chalearn_annotation_mirror
test,train,3OoQBXWTGfE.001,3OoQBXWTGfE.001.mp4,train/3OoQBXWTGfE.001.mp4,1.0,0.0325613518748822,0.0890839160450891,-0.0054169551191609,0.0266026858333574,-0.3560498692226871,0.1370670039572091,0.0187717647730663,0.0215139595674474,0.0233844286233139,0.0273431624418915,0.1401360074518477,0.1374761955013608,77.0,15.3153,0.1588785046728971,chalearn_annotation_mirror
test,train,3P_D_bd-_NM.001,3P_D_bd-_NM.001.mp4,train/3P_D_bd-_NM.001.mp4,1.0,-0.009127629685143,0.0645169154766943,-0.0463155556364476,0.0193832861442472,0.0040806075538354,0.1132191898777456,0.0734615619240774,0.0428106561944665,0.0033648794508192,0.0053327726383408,0.05900882827007,0.1227911134675747,77.0,15.3153,0.4485981308411215,chalearn_annotation_mirror
