file_name,video_id,age_group,transcription,original_split,hf_filename,interview_label,label_source,label_bin,split
-zNyDPzId4E.003.mp4,-zNyDPzId4E,3,"... drug addict friends. It's okay, it's not that bad because I'm not the one who's the drug addict, so I'm okay with it, but whatever you ... I don't know. I can live with it, so I'm okay with-",train,train/-zNyDPzId4E.003.mp4,0.4205607476635514,chalearn_annotation_mirror,medium,test
1AMp8Y_0UGc.004.mp4,1AMp8Y_0UGc,3,Tell me.,train,train/1AMp8Y_0UGc.004.mp4,0.4299065420560747,chalearn_annotation_mirror,medium,test
2GHz8LYflE0.000.mp4,2GHz8LYflE0,6,"Things.. the first one was a minion one and I had fun with those but I wanted to put more of myself out there. I do have a toy blind guide video coming up pretty soon, but I felt like I wanted to do more with my channel, I didn't want...",train,train/2GHz8LYflE0.000.mp4,0.4299065420560747,chalearn_annotation_mirror,medium,test
2NNYN1ZCJhw.002.mp4,2NNYN1ZCJhw,5,"... Goes into the Rio. I didn't experience it too much at the Wynn Bellagio or Aria, but at the Rio we would catch people having sex all the time! There was kind of like, a little hallway where you would ...",validation,validation/2NNYN1ZCJhw.002.mp4,0.5981308411214953,chalearn_annotation_mirror,medium,test
2mfmw63l88g.005.mp4,2mfmw63l88g,3,"... coming down below if you want to be the next winner of the Friday Shout Out Series, but I'm starting until I'm gonna get hundreds of subscribers and I know we can do, we're eight subscribers ...",train,train/2mfmw63l88g.005.mp4,0.17757009345794392,chalearn_annotation_mirror,low,test
2oiXF5_gTyk.000.mp4,2oiXF5_gTyk,4,"Beatboxing and really got over the shy hump as far as not being able to beatbox in front of anybody. I was scared and won the talent portion of it, so that was really cool. Just had a blast. I just had a blast that year and I miss-",validation,validation/2oiXF5_gTyk.000.mp4,0.6915887850467289,chalearn_annotation_mirror,medium,test
2x8GZaBY6TM.001.mp4,2x8GZaBY6TM,3,"Hello. Nice video, bro. Keep what you're doing, bro. You said you want to do a Q&A, so I will give you five question, five, but it is like, would you rather ... Thanks for the Q&A and thanks for these questions. Would you rather piss-",train,train/2x8GZaBY6TM.001.mp4,0.2616822429906542,chalearn_annotation_mirror,low,test
300gK3CnzW0.005.mp4,300gK3CnzW0,3,"And if there's someone like 10 feet behind me, them being able to hear me. I don't want to be like that, I want to just walk around and not give a shit because honestly, if they hear me and see me vlogging, even if they said something to me, what does it do? All they do is say something.",validation,validation/300gK3CnzW0.005.mp4,0.35514018691588783,chalearn_annotation_mirror,low,test
3OoQBXWTGfE.001.mp4,3OoQBXWTGfE,6,"I think, you know, they've kind of promoted my vlogs a couple of times and they blew up a whole bunch of lovely people who like to comment and stuff like that. So, that's really great.",train,train/3OoQBXWTGfE.001.mp4,0.15887850467289716,chalearn_annotation_mirror,low,test
3P_D_bd-_NM.001.mp4,3P_D_bd-_NM,4,"... Don't have the right body to play collegiate football. I mean, I was getting scouted and recruited by D2 and D3 schools, but I knew I had a more better chance in college and getting scholarship money ...",train,train/3P_D_bd-_NM.001.mp4,0.4485981308411215,chalearn_annotation_mirror,medium,test
3S8QUGYVf_w.000.mp4,3S8QUGYVf_w,5,"Light, and when there is available natural light, I like to film with natural light. I don't have to fix anything, I don't have to adjust temperatures. I prefer natural light. If I could film outside without all of the noise, I totally would.",train,train/3S8QUGYVf_w.000.mp4,0.644859813084112,chalearn_annotation_mirror,medium,test
3ccY8jYkI5o.004.mp4,3ccY8jYkI5o,4,"Interesting. That is surprisingly accurate. Yeah, that's pretty accurate. I'll also put a link below so you can take the test yourself. I'll put a link below. Like where else would you put the link? So you can see what you get. Comment below and let me know what you get and like the-",train,train/3ccY8jYkI5o.004.mp4,0.7476635514018691,chalearn_annotation_mirror,high,test
3ySH8eJQRCI.001.mp4,3ySH8eJQRCI,5,"Warped the titanium and that's 30B. Okay? You're paying for a person's time, and time is money. Above that, even if you consider those factors and you think, ""Well, you know what? That guy's time isn't worth it."" That's fine.",train,train/3ySH8eJQRCI.001.mp4,0.5794392523364486,chalearn_annotation_mirror,medium,test
4JYmE9a21aI.001.mp4,4JYmE9a21aI,5,"Actually one of my favorite shows to watch is Antique Roadshow. You guys have heard me say it before, I love antiques. I love history and I just love learning new things. Antique Roadshow I find is so fascinating, so interesting. I would love to go.",validation,validation/4JYmE9a21aI.001.mp4,0.5700934579439252,chalearn_annotation_mirror,medium,test
4V7doeEKsus.002.mp4,4V7doeEKsus,4,"Frequent content uploaded. The 10 styles of metal video, that was the video that actually took off, which is funny because when I did that video, I didn't think it would get more than 500 views. I only had maybe 3-400 ...",train,train/4V7doeEKsus.002.mp4,0.5046728971962616,chalearn_annotation_mirror,medium,test
4nir0YtjHVs.002.mp4,4nir0YtjHVs,4,"And luckily getting Brandy helped me get out because I have to walk her every day, but I wanted to do more. I wanted to be able to go to a gym, I wanted to work up a sweat. I'd like to get into a shape of some form. Not like body shape, just healthy because Brandy loves running and I tried to take-",train,train/4nir0YtjHVs.002.mp4,0.5327102803738317,chalearn_annotation_mirror,medium,test
